Store_id,Store_Name,Biz_Name,Address,City,Province,Postal Code,Latitude,Longitude,Rating,Types
976645,Supercuts-Lethbridge,Supercuts,323 Bluefox Blvd N,Lethbridge,Alberta,T1H 6T3,49.7283842,-112.8098013,4,"beaty_salon, hair_care, health, point_of_interest, establishment"
976636,Supercuts-Sherwood-Park,Supercuts,590 Baseline Rd Suite 220,Sherwood Park,Alberta,T8H 1Y4,53.5413121,-113.2671196,2.7,"beaty_salon, hair_care, health, point_of_interest, establishment"
976652,Supercuts-Moncton,Supercuts,45 Plaza Blvd,Moncton,New Brunswick,E1C 0E8,46.1128903,-64.8312984,4.1,"beaty_salon, hair_care, health, point_of_interest, establishment"
976628,Supercuts-Barrie,Supercuts,411 Bayfield Street,Barrie,Ontario,L4M 6E5,44.4102175,-79.706244,3.7,"hair_care, point_of_interest, establishment"
976650,Supercuts-Brampton,First Choice Haircutters,10088 Mclaughlin Rd,Brampton,Ontario,L7A 2X6,43.6963155,-79.8007812,4,"beaty_salon, hair_care, health, point_of_interest, establishment"
976654,Supercuts-Brampton,First Choice Haircutters,80 Clementine Dr,Brampton,Ontario,L6Y 0L8,43.6450491,-79.7541384,3.4,"beaty_salon, hair_care, health, point_of_interest, establishment"
976658,Supercuts-Burlington,Supercuts,3230 Fairview St,Burlington,Ontario,L7P 3H5,43.347385,-79.7972939,4,"beaty_salon, hair_care, health, point_of_interest, establishment"
976662,Supercuts-Burlington,Supercuts,2000 Appleby Line,Burlington,Ontario,L7L 6A1,43.3938947,-79.7912357,3.1,"beaty_salon, hair_care, health, point_of_interest, establishment"
976667,Supercuts-Hamilton,Supercuts,880 Upper Wentworth Rd,Hamilton,Ontario,L9A 5H2,43.2213221,-79.8635459,3.5,"beaty_salon, hair_care, health, point_of_interest, establishment"
976663,Supercuts-Hamilton,Supercuts,1508 Upper James St,Hamilton,Ontario,L9B 1K3,43.206675,-79.891611,3.5,"beaty_salon, hair_care, health, point_of_interest, establishment"
976626,Supercuts-Kitchener,First Choice Haircutters,324 Highland Road West Unit 16,Kitchener,Ontario,N2M 5G2,43.4392936,-80.5091273,3.8,"beaty_salon, hair_care, health, point_of_interest, establishment"
976666,Supercuts-London,Supercuts,1086 Commissioners Rd E,London,Ontario,N5Z 4W8,42.962247,-81.2000002,3.6,"beaty_salon, hair_care, health, point_of_interest, establishment"
976665,Supercuts-London,Supercuts,1345 Huron St Unit 2b,London,Ontario,N5V 2E3,43.0196639,-81.2132508,4,"beaty_salon, hair_care, health, point_of_interest, establishment"
976620,Supercuts-London,Supercuts,395 Wellinton Rd W,London,Ontario,N6C 5Z6,42.9594015,-81.2324062,3.6,"beaty_salon, hair_care, health, point_of_interest, establishment"
976621,Supercuts-London,Supercuts,595 Fanshawne Park Dr W Unit B,London,Ontario,N6G 5B3,43.0191687,-81.309124,3.2,"beaty_salon, hair_care, health, point_of_interest, establishment"
976624,Supercuts-Milton,First Choice Haircutters,1003 Maple Ave,Milton,Ontario,L9T 0A5,43.535405,-79.875986,3.1,"beaty_salon, hair_care, health, point_of_interest, establishment"
976664,Supercuts-Mississauga,Supercuts,5935 Mavis Rd,Mississauga,Ontario,L5R 3T7,43.6111459,-79.69248,3.4,"beaty_salon, hair_care, health, point_of_interest, establishment"
976622,Supercuts-Mississauga,First Choice Haircutters,4555 Hurontario St,Mississauga,Ontario,L4Z 3M1,43.6050893,-79.6495965,4,"beaty_salon, hair_care, health, point_of_interest, establishment"
976647,Supercuts-Newmarket,Supercuts,18040 Yonge St,Newmarket,Ontario,L3Y 8S4,44.0675031,-79.4843181,2.6,"beaty_salon, hair_care, health, point_of_interest, establishment"
976657,Supercuts-Niagara-Falls,Supercuts,7190 Morrison St Unit 5c,Niagara Falls,Ontario,L2E 7K5,43.1026204,-79.1165701,4,"beaty_salon, hair_care, health, point_of_interest, establishment"
976642,Supercuts-North-York,Supercuts,808 York Mills Rd Suite 33,North York,Ontario,M3B 1X8,43.7541178,-79.3579634,3.7,"beaty_salon, hair_care, health, point_of_interest, establishment"
976660,Supercuts-Oakville,Supercuts,203 N Service Rd Unit 3 West,Oakville,Ontario,L6M 3R2,43.4509407,-79.7025764,4,"beaty_salon, hair_care, health, point_of_interest, establishment"
976661,Supercuts-Oakville,Supercuts,295 Hays Blvd Suite 102,Oakville,Ontario,L6H 6M3,43.4854696,-79.7180338,3.4,"beaty_salon, hair_care, health, point_of_interest, establishment"
976656,Supercuts-Pickering,Supercuts,570 Kingston Rd Unit 2,Pickering,Ontario,L1V 1A6,43.8168889,-79.1191744,2.9,"beaty_salon, hair_care, health, point_of_interest, establishment"
976659,Supercuts-Saint-Catherines,Supercuts,311 Geneva St Unit 2b,Saint Catherines,Ontario,L2N 2G1,43.1784519,-79.2412686,3.7,"beaty_salon, hair_care, health, point_of_interest, establishment"
976623,Supercuts-Stoney-Creek,Supercuts,256 Mud St W,Stoney Creek,Ontario,L8J 3Z6,43.1961737,-79.7921552,3.9,"beaty_salon, hair_care, health, point_of_interest, establishment"
976627,Supercuts-Thornhill,Supercuts,9320 Bathurst Street Unit 3,Thornhill,Ontario,L6A 4N9,43.8485665,-79.459885,3.8,"beaty_salon, hair_care, health, point_of_interest, establishment"
976625,Supercuts-Wasaga-Beach,Supercuts,3 Market Lane Unit 2,Wasaga Beach,Ontario,L9Z 0B6,44.5241384,-80.0061974,4,"beaty_salon, hair_care, health, point_of_interest, establishment"
3950562,Trade-Secret-Coquitlam,BeTheBoss,2929 Barnet Highway,Coquitlam,British Columbia,V3B 5R5,49.2774501,-122.8022879,,"point_of_interest, establishment"
3950563,Trade-Secret-Nanaimo,The Body Shop,"6631 Island Hwy N., Space 29",Nanaimo,British Columbia,V9T 4T7,49.2365754,-124.0506274,4,"store, point_of_interest, establishment"
3950751,Trade-Secret-Richmond,Trade Secret,6060 Minoru Blvd.,Richmond,British Columbia,V6Y 2V7,49.1664187,-123.139407,,"store, point_of_interest, establishment"
3950560,Trade-Secret-Fredericton,Trade Secret,1381 Regent St.,Fredericton,New Brunswick,E3C 1A2,45.934473,-66.6641088,,"beaty_salon, hair_care, store, point_of_interest, establishment"
3950561,Trade-Secret-Saint-John,Trade Secret,519 Westmorland Rd.,Saint John,New Brunswick,E2J 3W9,45.3067629,-66.0156412,,"beaty_salon, store, point_of_interest, establishment"
23454002,Urban-Decay-Calgary,Sephora,3625 Shaganappi Trail Nw,Calgary,Alberta,T3A 0E2,51.084709,-114.154918,3,"clothing_store, store, health, point_of_interest, establishment"
23454003,Urban-Decay-Calgary,Sephora,6455 Macloud Trail Sw,Calgary,Alberta,T2H 0K8,50.9978823,-114.0740046,2.4,"clothing_store, store, health, point_of_interest, establishment"
23454031,Urban-Decay-Calgary,Urban Thrift,2525 36th Street N E,Calgary,Alberta,T1Y 5T4,51.073401,-113.9820196,3.9,"clothing_store, store, point_of_interest, establishment"
23454032,Urban-Decay-Calgary,Shoppers Drug Mart,1200 Market Street Se,Calgary,Alberta,T4A 0K9,51.2703168,-113.9922707,3.7,"pharmacy, store, health, point_of_interest, establishment"
23454001,Urban-Decay-Edmonton,Sephora,8882 170th St,Edmonton,Alberta,T5T 4J2,53.5217443,-113.6186753,3.1,"clothing_store, store, point_of_interest, establishment"
23454008,Urban-Decay-Edmonton,Sephora,5015  111 Street Nw,Edmonton,Alberta,T6H 4M6,53.4856393,-113.5136882,3.1,"clothing_store, store, health, point_of_interest, establishment"
23454033,Urban-Decay-Edmonton,Shoppers Drug Mart,9360 Southfort Drive,Edmonton,Alberta,T8L 0C5,53.6949989,-113.2166138,3,"pharmacy, store, health, point_of_interest, establishment"
23454034,Urban-Decay-Fort-Mcmurray,River City Dental Clinic,8600 Franklin Avenue,Fort Mcmurray,Alberta,T9H 4G8,56.7205048,-111.3609732,4.6,"dentist, health, point_of_interest, establishment"
23454009,Urban-Decay-Burnaby,Urban Decay,216- 4820 Kingsway,Burnaby,British Columbia,V5H 4P1,49.225512,-122.997561,3.2,"point_of_interest, establishment"
23454017,Urban-Decay-Kelowna,SEPHORA,Suite #935-2271 Harvey Ave.,Kelowna,British Columbia,V1Y 6H2,49.8818055,-119.4378677,3.2,"clothing_store, store, health, point_of_interest, establishment"
23454007,Urban-Decay-Winnipeg,Sephora,1485 Portage Ave,Winnipeg,Manitoba,R3G 0W4,49.8815941,-97.197071,2.8,"clothing_store, store, health, point_of_interest, establishment"
23454018,Urban-Decay-St.-Johns,Sephora,141 Torbay Road,St. Johns,Newfoundland,A1A 0K6,47.591804,-52.7111835,4.2,"clothing_store, store, health, point_of_interest, establishment"
23454019,Urban-Decay-St.-Johns,Sephora,390 Topsail Road,St. Johns,Newfoundland,A1E 5Y7,47.53559,-52.7468501,4.2,"clothing_store, store, health, point_of_interest, establishment"
23454015,Urban-Decay-Halifax,SEPHORA,7001 Mumford Road,Halifax,Nova Scotia,NS B3L 4N9,44.6493029,-63.618185,3.7,"clothing_store, store, health, point_of_interest, establishment"
23454026,Urban-Decay-Barrie,SEPHORA,524 Bayfield Street North,Barrie,Ontario,L4M4Z8,44.4137436,-79.7129061,2.8,"clothing_store, store, health, point_of_interest, establishment"
23454012,Urban-Decay-London,SEPHORA,1105 Wellington Road,London,Ontario,ON N6E 1V,42.931683,-81.223146,2.9,"clothing_store, store, health, point_of_interest, establishment"
23453999,Urban-Decay-Mississauga,Urban Decay,100 City Centre Dr,Mississauga,Ontario,L5B 2C9,43.5930784,-79.6424911,3.5,"store, point_of_interest, establishment"
23454006,Urban-Decay-Ottawa,Sephora,50 Rideau St,Ottawa,Ontario,K1N 5W8,45.4252795,-75.6929819,3.1,"clothing_store, store, health, point_of_interest, establishment"
23454013,Urban-Decay-Ottawa,Sephora,100 Bayshore Drive,Ottawa,Ontario,K2B 8C1,45.3490049,-75.8049304,3.8,"clothing_store, store, point_of_interest, establishment"
23454020,Urban-Decay-Ottawa,Sephora,1080 Bank Street,Ottawa,Ontario,K1S 3X3,45.3943503,-75.6838382,3.1,"clothing_store, store, health, point_of_interest, establishment"
23454021,Urban-Decay-Ottawa,Sephora,2148 Carling Ave,Ottawa,Ontario,K2A 1H1,45.3694167,-75.7687714,3.8,"clothing_store, store, point_of_interest, establishment"
