Province,StationID,Name,Latitude,Longitude,Postal Code,Date/Time,Year,Month,Mean Max Temp C,Mean Min Temp C,Mean Min Temp Flag,Temp Flag,Mean Temp C,Mean Temp Flag,Ext Max Temp,Ext Max Temp Flag,Ext Min Temp,Ext Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (mm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day,Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-10,2006,10,13.1,E,4.7,E,8.9,E,22,,-2,,205,,0,T,205,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-11,2006,11,8.8,,1.8,,5.3,,15,,-3.5,,126.2,,0,T,126.2,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-12,2006,12,5.2,,-1.7,,1.8,,13,,-14,,86.7,,26.5,E,113.2,E,0,T,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-01,2006,1,3,,-5.2,,-1.1,,10,,-18,,81.7,,11.9,,93.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-02,2006,2,-0.2,,-8.4,,-4.3,,8.5,,-19.5,,45.4,,13.6,,59,,7,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-03,2006,3,5.7,,-4.2,,0.7,,20,,-16,,44.1,,0.4,,44.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-04,2006,4,13.7,E,3.3,,8.5,E,24.5,,-5,,68.7,,0.8,,69.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-05,2006,5,20,,9.7,,14.9,,31,,1.5,,98.5,,0,T,98.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-06,2006,6,24.3,,14.9,,19.6,,29,S,8.5,,90.3,,0,,90.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-07,2006,7,27.6,,19,,23.3,,31.5,,13.5,,88.6,,0,,88.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-08,2006,8,26.9,E,16.3,,21.6,E,33,,9.5,,23,,0,,23,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-09,2006,9,19.9,,11.5,,15.7,,26,,3.5,,133.3,,0,,133.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-10,2006,10,13.1,E,4.7,E,8.9,E,22,,-2,,205,,0,T,205,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-11,2006,11,8.8,,1.8,,5.3,,15,,-3.5,,126.2,,0,T,126.2,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-12,2006,12,5.2,,-1.7,,1.8,,13,,-14,,86.7,,26.5,E,113.2,E,0,T,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-01,2006,1,3,,-5.2,,-1.1,,10,,-18,,81.7,,11.9,,93.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-02,2006,2,-0.2,,-8.4,,-4.3,,8.5,,-19.5,,45.4,,13.6,,59,,7,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-03,2006,3,5.7,,-4.2,,0.7,,20,,-16,,44.1,,0.4,,44.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-04,2006,4,13.7,E,3.3,,8.5,E,24.5,,-5,,68.7,,0.8,,69.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-05,2006,5,20,,9.7,,14.9,,31,,1.5,,98.5,,0,T,98.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-06,2006,6,24.3,,14.9,,19.6,,29,S,8.5,,90.3,,0,,90.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-07,2006,7,27.6,,19,,23.3,,31.5,,13.5,,88.6,,0,,88.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-08,2006,8,26.9,E,16.3,,21.6,E,33,,9.5,,23,,0,,23,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-09,2006,9,19.9,,11.5,,15.7,,26,,3.5,,133.3,,0,,133.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-10,2006,10,13.1,E,4.7,E,8.9,E,22,,-2,,205,,0,T,205,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-11,2006,11,8.8,,1.8,,5.3,,15,,-3.5,,126.2,,0,T,126.2,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-12,2006,12,5.2,,-1.7,,1.8,,13,,-14,,86.7,,26.5,E,113.2,E,0,T,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-01,2006,1,3,,-5.2,,-1.1,,10,,-18,,81.7,,11.9,,93.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-02,2006,2,-0.2,,-8.4,,-4.3,,8.5,,-19.5,,45.4,,13.6,,59,,7,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-03,2006,3,5.7,,-4.2,,0.7,,20,,-16,,44.1,,0.4,,44.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-04,2006,4,13.7,E,3.3,,8.5,E,24.5,,-5,,68.7,,0.8,,69.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-05,2006,5,20,,9.7,,14.9,,31,,1.5,,98.5,,0,T,98.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-06,2006,6,24.3,,14.9,,19.6,,29,S,8.5,,90.3,,0,,90.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-07,2006,7,27.6,,19,,23.3,,31.5,,13.5,,88.6,,0,,88.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-08,2006,8,26.9,E,16.3,,21.6,E,33,,9.5,,23,,0,,23,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-09,2006,9,19.9,,11.5,,15.7,,26,,3.5,,133.3,,0,,133.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-10,2006,10,13.1,E,4.7,E,8.9,E,22,,-2,,205,,0,T,205,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-11,2006,11,8.8,,1.8,,5.3,,15,,-3.5,,126.2,,0,T,126.2,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-12,2006,12,5.2,,-1.7,,1.8,,13,,-14,,86.7,,26.5,E,113.2,E,0,T,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-01,2006,1,3,,-5.2,,-1.1,,10,,-18,,81.7,,11.9,,93.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-02,2006,2,-0.2,,-8.4,,-4.3,,8.5,,-19.5,,45.4,,13.6,,59,,7,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-03,2006,3,5.7,,-4.2,,0.7,,20,,-16,,44.1,,0.4,,44.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-04,2006,4,13.7,E,3.3,,8.5,E,24.5,,-5,,68.7,,0.8,,69.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-05,2006,5,20,,9.7,,14.9,,31,,1.5,,98.5,,0,T,98.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-06,2006,6,24.3,,14.9,,19.6,,29,S,8.5,,90.3,,0,,90.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-07,2006,7,27.6,,19,,23.3,,31.5,,13.5,,88.6,,0,,88.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-08,2006,8,26.9,E,16.3,,21.6,E,33,,9.5,,23,,0,,23,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-09,2006,9,19.9,,11.5,,15.7,,26,,3.5,,133.3,,0,,133.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-10,2006,10,13.1,E,4.7,E,8.9,E,22,,-2,,205,,0,T,205,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-11,2006,11,8.8,,1.8,,5.3,,15,,-3.5,,126.2,,0,T,126.2,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-12,2006,12,5.2,,-1.7,,1.8,,13,,-14,,86.7,,26.5,E,113.2,E,0,T,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-01,2006,1,3,,-5.2,,-1.1,,10,,-18,,81.7,,11.9,,93.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-02,2006,2,-0.2,,-8.4,,-4.3,,8.5,,-19.5,,45.4,,13.6,,59,,7,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-03,2006,3,5.7,,-4.2,,0.7,,20,,-16,,44.1,,0.4,,44.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-04,2006,4,13.7,E,3.3,,8.5,E,24.5,,-5,,68.7,,0.8,,69.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-05,2006,5,20,,9.7,,14.9,,31,,1.5,,98.5,,0,T,98.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-06,2006,6,24.3,,14.9,,19.6,,29,S,8.5,,90.3,,0,,90.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-07,2006,7,27.6,,19,,23.3,,31.5,,13.5,,88.6,,0,,88.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-08,2006,8,26.9,E,16.3,,21.6,E,33,,9.5,,23,,0,,23,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-09,2006,9,19.9,,11.5,,15.7,,26,,3.5,,133.3,,0,,133.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-10,2006,10,13.1,E,4.7,E,8.9,E,22,,-2,,205,,0,T,205,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-11,2006,11,8.8,,1.8,,5.3,,15,,-3.5,,126.2,,0,T,126.2,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-12,2006,12,5.2,,-1.7,,1.8,,13,,-14,,86.7,,26.5,E,113.2,E,0,T,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-01,2006,1,3,,-5.2,,-1.1,,10,,-18,,81.7,,11.9,,93.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-02,2006,2,-0.2,,-8.4,,-4.3,,8.5,,-19.5,,45.4,,13.6,,59,,7,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-03,2006,3,5.7,,-4.2,,0.7,,20,,-16,,44.1,,0.4,,44.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-04,2006,4,13.7,E,3.3,,8.5,E,24.5,,-5,,68.7,,0.8,,69.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-05,2006,5,20,,9.7,,14.9,,31,,1.5,,98.5,,0,T,98.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-06,2006,6,24.3,,14.9,,19.6,,29,S,8.5,,90.3,,0,,90.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-07,2006,7,27.6,,19,,23.3,,31.5,,13.5,,88.6,,0,,88.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-08,2006,8,26.9,E,16.3,,21.6,E,33,,9.5,,23,,0,,23,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-09,2006,9,19.9,,11.5,,15.7,,26,,3.5,,133.3,,0,,133.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-10,2006,10,13.1,E,4.7,E,8.9,E,22,,-2,,205,,0,T,205,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-11,2006,11,8.8,,1.8,,5.3,,15,,-3.5,,126.2,,0,T,126.2,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-12,2006,12,5.2,,-1.7,,1.8,,13,,-14,,86.7,,26.5,E,113.2,E,0,T,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-01,2006,1,3,,-5.2,,-1.1,,10,,-18,,81.7,,11.9,,93.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-02,2006,2,-0.2,,-8.4,,-4.3,,8.5,,-19.5,,45.4,,13.6,,59,,7,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-03,2006,3,5.7,,-4.2,,0.7,,20,,-16,,44.1,,0.4,,44.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-04,2006,4,13.7,E,3.3,,8.5,E,24.5,,-5,,68.7,,0.8,,69.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-05,2006,5,20,,9.7,,14.9,,31,,1.5,,98.5,,0,T,98.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-06,2006,6,24.3,,14.9,,19.6,,29,S,8.5,,90.3,,0,,90.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-07,2006,7,27.6,,19,,23.3,,31.5,,13.5,,88.6,,0,,88.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-08,2006,8,26.9,E,16.3,,21.6,E,33,,9.5,,23,,0,,23,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-09,2006,9,19.9,,11.5,,15.7,,26,,3.5,,133.3,,0,,133.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-10,2006,10,13.1,E,4.7,E,8.9,E,22,,-2,,205,,0,T,205,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-11,2006,11,8.8,,1.8,,5.3,,15,,-3.5,,126.2,,0,T,126.2,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-12,2006,12,5.2,,-1.7,,1.8,,13,,-14,,86.7,,26.5,E,113.2,E,0,T,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-01,2006,1,3,,-5.2,,-1.1,,10,,-18,,81.7,,11.9,,93.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-02,2006,2,-0.2,,-8.4,,-4.3,,8.5,,-19.5,,45.4,,13.6,,59,,7,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-03,2006,3,5.7,,-4.2,,0.7,,20,,-16,,44.1,,0.4,,44.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-04,2006,4,13.7,E,3.3,,8.5,E,24.5,,-5,,68.7,,0.8,,69.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-05,2006,5,20,,9.7,,14.9,,31,,1.5,,98.5,,0,T,98.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-06,2006,6,24.3,,14.9,,19.6,,29,S,8.5,,90.3,,0,,90.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-07,2006,7,27.6,,19,,23.3,,31.5,,13.5,,88.6,,0,,88.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-08,2006,8,26.9,E,16.3,,21.6,E,33,,9.5,,23,,0,,23,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-09,2006,9,19.9,,11.5,,15.7,,26,,3.5,,133.3,,0,,133.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-10,2006,10,13.1,E,4.7,E,8.9,E,22,,-2,,205,,0,T,205,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-11,2006,11,8.8,,1.8,,5.3,,15,,-3.5,,126.2,,0,T,126.2,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-12,2006,12,5.2,,-1.7,,1.8,,13,,-14,,86.7,,26.5,E,113.2,E,0,T,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-01,2006,1,3,,-5.2,,-1.1,,10,,-18,,81.7,,11.9,,93.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-02,2006,2,-0.2,,-8.4,,-4.3,,8.5,,-19.5,,45.4,,13.6,,59,,7,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-03,2006,3,5.7,,-4.2,,0.7,,20,,-16,,44.1,,0.4,,44.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-04,2006,4,13.7,E,3.3,,8.5,E,24.5,,-5,,68.7,,0.8,,69.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-05,2006,5,20,,9.7,,14.9,,31,,1.5,,98.5,,0,T,98.5,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-06,2006,6,24.3,,14.9,,19.6,,29,S,8.5,,90.3,,0,,90.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-07,2006,7,27.6,,19,,23.3,,31.5,,13.5,,88.6,,0,,88.6,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-08,2006,8,26.9,E,16.3,,21.6,E,33,,9.5,,23,,0,,23,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-09,2006,9,19.9,,11.5,,15.7,,26,,3.5,,133.3,,0,,133.3,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-10,2006,10,13.1,E,4.7,E,8.9,E,22,,-2,,205,,0,T,205,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-11,2006,11,8.8,,1.8,,5.3,,15,,-3.5,,126.2,,0,T,126.2,,0,,,,,
ON,4859,BELLEVILLE,44.15,-77.39,K8P 1A7,2006-12,2006,12,5.2,,-1.7,,1.8,,13,,-14,,86.7,,26.5,E,113.2,E,0,T,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-01,2006,1,1.5,,-5.6,E,-2.1,E,8.5,,-18.5,,77.5,,12.8,,90.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-02,2006,2,-2.6,,-10.6,,-6.6,,6.5,,-23,,50.3,,39.9,,90.2,,15,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-03,2006,3,3.8,,-6.3,,-1.2,,19.5,,-17,,54.3,,10,,64.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-04,2006,4,12.7,,1.1,,6.9,,22,,-6,S,71.2,,1.8,,73,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-05,2006,5,18.8,,7.8,,13.3,,32,S,-2.5,,80.4,,0,T,80.4,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-06,2006,6,23.2,E,12.5,,17.9,E,32.5,,5.5,,96.3,,0,,96.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-07,2006,7,26.6,,16.1,,21.4,,31.5,,10,S,173.3,,0,,173.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-08,2006,8,24.7,,13.5,,19.1,,34,,4,,31.8,,0,,31.8,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-09,2006,9,18.7,,9.9,,14.3,,25.5,,1.5,,90.3,,0,,90.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-10,2006,10,12.2,,3.7,,8,,25,,-3.5,,136,,0,T,136,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-11,2006,11,8.1,,0.7,,4.4,,14.5,,-6,,89.5,,1.6,,91.1,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-12,2006,12,3.5,,-3,,0.2,,10.5,,-16.5,,65.4,,11.2,,76.6,,0,T,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-01,2006,1,1.5,,-5.6,E,-2.1,E,8.5,,-18.5,,77.5,,12.8,,90.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-02,2006,2,-2.6,,-10.6,,-6.6,,6.5,,-23,,50.3,,39.9,,90.2,,15,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-03,2006,3,3.8,,-6.3,,-1.2,,19.5,,-17,,54.3,,10,,64.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-04,2006,4,12.7,,1.1,,6.9,,22,,-6,S,71.2,,1.8,,73,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-05,2006,5,18.8,,7.8,,13.3,,32,S,-2.5,,80.4,,0,T,80.4,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-06,2006,6,23.2,E,12.5,,17.9,E,32.5,,5.5,,96.3,,0,,96.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-07,2006,7,26.6,,16.1,,21.4,,31.5,,10,S,173.3,,0,,173.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-08,2006,8,24.7,,13.5,,19.1,,34,,4,,31.8,,0,,31.8,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-09,2006,9,18.7,,9.9,,14.3,,25.5,,1.5,,90.3,,0,,90.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-10,2006,10,12.2,,3.7,,8,,25,,-3.5,,136,,0,T,136,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-11,2006,11,8.1,,0.7,,4.4,,14.5,,-6,,89.5,,1.6,,91.1,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-12,2006,12,3.5,,-3,,0.2,,10.5,,-16.5,,65.4,,11.2,,76.6,,0,T,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-01,2006,1,1.5,,-5.6,E,-2.1,E,8.5,,-18.5,,77.5,,12.8,,90.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-02,2006,2,-2.6,,-10.6,,-6.6,,6.5,,-23,,50.3,,39.9,,90.2,,15,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-03,2006,3,3.8,,-6.3,,-1.2,,19.5,,-17,,54.3,,10,,64.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-04,2006,4,12.7,,1.1,,6.9,,22,,-6,S,71.2,,1.8,,73,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-05,2006,5,18.8,,7.8,,13.3,,32,S,-2.5,,80.4,,0,T,80.4,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-06,2006,6,23.2,E,12.5,,17.9,E,32.5,,5.5,,96.3,,0,,96.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-07,2006,7,26.6,,16.1,,21.4,,31.5,,10,S,173.3,,0,,173.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-08,2006,8,24.7,,13.5,,19.1,,34,,4,,31.8,,0,,31.8,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-09,2006,9,18.7,,9.9,,14.3,,25.5,,1.5,,90.3,,0,,90.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-10,2006,10,12.2,,3.7,,8,,25,,-3.5,,136,,0,T,136,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-11,2006,11,8.1,,0.7,,4.4,,14.5,,-6,,89.5,,1.6,,91.1,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-12,2006,12,3.5,,-3,,0.2,,10.5,,-16.5,,65.4,,11.2,,76.6,,0,T,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-01,2006,1,1.5,,-5.6,E,-2.1,E,8.5,,-18.5,,77.5,,12.8,,90.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-02,2006,2,-2.6,,-10.6,,-6.6,,6.5,,-23,,50.3,,39.9,,90.2,,15,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-03,2006,3,3.8,,-6.3,,-1.2,,19.5,,-17,,54.3,,10,,64.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-04,2006,4,12.7,,1.1,,6.9,,22,,-6,S,71.2,,1.8,,73,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-05,2006,5,18.8,,7.8,,13.3,,32,S,-2.5,,80.4,,0,T,80.4,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-06,2006,6,23.2,E,12.5,,17.9,E,32.5,,5.5,,96.3,,0,,96.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-07,2006,7,26.6,,16.1,,21.4,,31.5,,10,S,173.3,,0,,173.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-08,2006,8,24.7,,13.5,,19.1,,34,,4,,31.8,,0,,31.8,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-09,2006,9,18.7,,9.9,,14.3,,25.5,,1.5,,90.3,,0,,90.3,,0,,,,,
ON,31048,BLACKSTOCK,44.1,-78.83,L0B 1B0,2006-10,2006,10,12.2,,3.7,,8,,25,,-3.5,,136,,0,T,136,,0,,,,,
